property_type,property_quality,rooms,living_area,bathrooms,garden_sqm,terrace_sqm,land_area,distance_from_airport,Skiresort_distance,terrace,garden,pool,car_box,Province,City,price,land,province_median,city_median
1,1,7,380,9,1,100,0,36,8,1,1,1,1,0,0,3300000,0,247000,2750000
0,4,8,1000,4,0,0,0,20,30,0,0,0,0,1,1,830000,0,640000,880000
0,4,3,100,2,0,170,0,6,18,1,0,0,0,2,2,850000,0,660000,850000
0,0,8,470,4,0,0,0,71,10,0,0,0,0,3,3,199000,0,85000,85000
2,0,2,69,1,0,0,0,42,4,0,0,0,0,4,4,198000,0,649000,1171362
0,0,3,244,2,40,0,0,54,4,0,1,0,0,5,5,590000,0,245000,590000
0,0,5,300,3,4800,0,450,44,4,0,1,0,0,6,6,1300000,1,610000,915000
2,0,2,120,4,0,0,0,55,1,0,0,0,0,7,7,520000,0,357500,497500
2,0,3,280,3,0,0,0,17,32,0,0,0,0,1,1,795000,0,640000,880000
7,4,5,470,6,0,0,0,64,89,0,0,1,0,8,8,750000,0,195000,315000
2,1,3,200,2,0,0,0,35,31,0,0,0,1,9,9,99000,0,270000,129000
1,2,3,260,2,415,0,0,28,7,0,1,1,1,10,10,720000,0,259000,328000
1,1,3,235,3,0,0,0,19,10,0,0,0,1,11,11,790000,0,648500,440000
2,3,2,90,1,0,0,0,55,10,0,0,0,0,4,12,3938880,0,649000,370000
2,0,3,120,3,100,30,0,35,128,1,1,0,0,12,13,450000,0,420000,365000
0,0,4,288,4,0,0,0,85,31,0,0,0,0,13,14,2950000,0,380000,645000
0,0,5,589,5,0,0,10000,42,13,0,0,0,0,1,15,795000,1,640000,300000
0,0,9,754,7,0,0,170000,60,49,0,0,0,0,14,16,1250000,1,320000,1250000
0,0,9,350,1,0,0,19976,23,9,0,0,0,0,15,17,300000,1,200000,300000
0,0,5,450,2,4978,40,4978,47,20,1,1,0,0,16,18,140000,1,200000,145000
2,0,2,120,3,0,0,0,71,66,0,0,0,0,14,19,255000,0,320000,217000
1,1,2,215,2,230,0,0,36,4,0,1,0,0,17,20,675000,0,550000,677500
2,0,3,105,1,0,0,0,35,8,0,0,0,0,4,21,205000,0,649000,427500
0,0,5,220,3,1000,4,1000,30,21,1,1,0,0,18,22,245000,1,639000,762500
0,0,4,585,2,0,0,0,77,29,0,0,0,0,19,23,1480000,0,500000,1170042
2,0,2,98,2,100,0,0,29,7,0,1,0,0,10,10,295000,0,259000,328000
0,0,7,278,3,0,0,12300,29,19,0,0,0,0,15,24,145000,1,200000,107500
0,0,5,1000,3,2500,0,1000,11,7,0,1,0,0,10,25,1150000,1,259000,1150000
0,0,4,330,3,1300,50,0,62,130,1,1,0,0,20,26,1200000,0,300000,760000
2,0,4,349,3,0,0,0,18,41,0,0,0,0,21,27,650000,0,290000,265000
0,0,5,130,1,20,150,0,27,14,1,1,0,0,22,28,38000,0,475000,38000
